search_term,video_title,channel,published_at,description,combined_text,clean_text,sentiment
DIY woodworking UK,Handcraft a new mechanism wooden slingshot #woodscraft #woodworking #wood #woodart #diy #craft,Mengly channel ,2025-02-28T11:26:51Z,Handcraft a new mechanism wooden slingshot #woodscraft #woodworking #wood #woodart #diy #craft.,Handcraft a new mechanism wooden slingshot #woodscraft #woodworking #wood #woodart #diy #craft Handcraft a new mechanism wooden slingshot #woodscraft #woodworking #wood #woodart #diy #craft.,handcraft a new mechanism wooden slingshot woodscraft woodworking wood woodart diy craft handcraft a new mechanism wooden slingshot woodscraft woodworking wood woodart diy craft,Neutral
DIY woodworking UK,How to Get FREE or Cheap Wood in the UK,Phill Wyatt Projects,2023-03-20T19:30:01Z,How I find free or cheap wood to use for Woodworking & DIY projects. To Subscribe to the Channel click here: ...,How to Get FREE or Cheap Wood in the UK How I find free or cheap wood to use for Woodworking & DIY projects. To Subscribe to the Channel click here: ...,how to get free or cheap wood in the uk how i find free or cheap wood to use for woodworking  diy projects to subscribe to the channel click here ,Positive
DIY woodworking UK,Beginner&#39;s Essential DIY Hacks,Brave Gals,2025-02-26T18:00:43Z,Unlock the secrets of creative carpentry with these epic woodworking hacks that every beginner must discover! From project ...,Beginner&#39;s Essential DIY Hacks Unlock the secrets of creative carpentry with these epic woodworking hacks that every beginner must discover! From project ...,beginners essential diy hacks unlock the secrets of creative carpentry with these epic woodworking hacks that every beginner must discover from project ,Positive
DIY woodworking UK,Woodworking tips and tricks! How to make a reliable corner joint for boards of different sizes,Simple Creative,2024-08-15T05:00:38Z,Woodworking tips and tricks! How to make a reliable corner joint for boards of different sizes. Woodworking ideas and projects.,Woodworking tips and tricks! How to make a reliable corner joint for boards of different sizes Woodworking tips and tricks! How to make a reliable corner joint for boards of different sizes. Woodworking ideas and projects.,woodworking tips and tricks how to make a reliable corner joint for boards of different sizes woodworking tips and tricks how to make a reliable corner joint for boards of different sizes woodworking ideas and projects,Negative
DIY woodworking UK,Perfect Woodworking Tips #diy #tools #woodworking #tips #shorts #woodwork,DIY Woodworking ,2024-12-12T08:58:56Z,Perfect Woodworking Tips #diy #tools #woodworking #tips #shorts #woodwork Woodworking #viral #trending #skills #tutorial ...,Perfect Woodworking Tips #diy #tools #woodworking #tips #shorts #woodwork Perfect Woodworking Tips #diy #tools #woodworking #tips #shorts #woodwork Woodworking #viral #trending #skills #tutorial ...,perfect woodworking tips diy tools woodworking tips shorts woodwork perfect woodworking tips diy tools woodworking tips shorts woodwork woodworking viral trending skills tutorial ,Positive
DIY woodworking UK,Build Your Own WATER POWERED Wooden Belt Sander From Scratch!  #woodworking #sawblade,Woodworking Tools TV,2025-08-18T12:25:35Z,Dear All Fan Welcome to Woodworking Tools TV! Get ready to unleash your creativity and build a unique wooden belt sander ...,Build Your Own WATER POWERED Wooden Belt Sander From Scratch!  #woodworking #sawblade Dear All Fan Welcome to Woodworking Tools TV! Get ready to unleash your creativity and build a unique wooden belt sander ...,build your own water powered wooden belt sander from scratch  woodworking sawblade dear all fan welcome to woodworking tools tv get ready to unleash your creativity and build a unique wooden belt sander ,Positive
furniture flip,Beginner Friendly Furniture Makeover ✨ #furnitureflip #diy,THE FLIPPED PIECE,2025-09-02T15:43:41Z,You can SOOO DO THIS TOO!!! Here is the Silk Truffle Paint I used : https://go.shopmy.us/p-17049612 Gator Hide Topcoat ...,Beginner Friendly Furniture Makeover ✨ #furnitureflip #diy You can SOOO DO THIS TOO!!! Here is the Silk Truffle Paint I used : https://go.shopmy.us/p-17049612 Gator Hide Topcoat ...,beginner friendly furniture makeover  furnitureflip diy you can sooo do this too here is the silk truffle paint i used  httpsgoshopmyusp gator hide topcoat ,Positive
furniture flip,Turn thrifted furniture into CASH PROFIT!💰 Furniture Flipping! Side Hustle! #furnitureflip #diy,Jenna Townsend,2024-07-26T01:09:17Z,Black Nightstand Links: https://urlgeni.us/amzn/Blacktables2 Paint - Wise Owl Jet Black (90%) & Weathervane Wood trim is from ...,Turn thrifted furniture into CASH PROFIT!💰 Furniture Flipping! Side Hustle! #furnitureflip #diy Black Nightstand Links: https://urlgeni.us/amzn/Blacktables2 Paint - Wise Owl Jet Black (90%) & Weathervane Wood trim is from ...,turn thrifted furniture into cash profit furniture flipping side hustle furnitureflip diy black nightstand links httpsurlgeniusamznblacktables paint  wise owl jet black   weathervane wood trim is from ,Positive
furniture flip,$10 thrifted Tea Cart Turned Beautiful | DIY Furniture Makeover,Flip It Furniture,2025-06-07T15:05:44Z,"This $10 thrift store teacart was dusty, dated, and totally overlooked—but not for long! In this video, I walk you through the full ...","$10 thrifted Tea Cart Turned Beautiful | DIY Furniture Makeover This $10 thrift store teacart was dusty, dated, and totally overlooked—but not for long! In this video, I walk you through the full ...", thrifted tea cart turned beautiful  diy furniture makeover this  thrift store teacart was dusty dated and totally overlookedbut not for long in this video i walk you through the full ,Positive
furniture flip,"Free Furniture Flip! Furniture Makeover | Stripping, Painting &amp; Odie’s Oil Finish",Flip It Furniture,2025-09-04T15:13:18Z,I scored a FREE dresser and chest of drawers off the side of the road — and gave them a complete start-to-finish makeover!,"Free Furniture Flip! Furniture Makeover | Stripping, Painting &amp; Odie’s Oil Finish I scored a FREE dresser and chest of drawers off the side of the road — and gave them a complete start-to-finish makeover!",free furniture flip furniture makeover  stripping painting amp odies oil finish i scored a free dresser and chest of drawers off the side of the road  and gave them a complete starttofinish makeover,Positive
